GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
llvm-antlr-project,com.example,LLVMIROptimization,2780,0,563,0,503,0,298,0,11,0
llvm-antlr-project,com.example,GraphColoringRegisterAllocator,3,1886,18,234,1,339,19,119,1,11
llvm-antlr-project,com.example,SysYParser.VarDefContext,36,43,5,1,9,9,9,8,6,8
llvm-antlr-project,com.example,LLVMIRInterpreter,1114,0,158,0,183,0,92,0,5,0
llvm-antlr-project,com.example,ConstPropValueHolder,90,0,6,0,20,0,11,0,7,0
llvm-antlr-project,com.example,array_variable,0,37,0,0,0,9,0,2,0,2
llvm-antlr-project,com.example,SemanticVisitor,368,1167,104,164,78,243,90,70,2,24
llvm-antlr-project,com.example,SysYParser.ExpContext,52,57,5,1,12,11,12,10,9,10
llvm-antlr-project,com.example,SysYParser.StmtContext,43,95,5,1,10,19,10,18,7,18
llvm-antlr-project,com.example,FormatterVisitor,172,1157,42,124,32,269,39,73,1,28
llvm-antlr-project,com.example,RegisterAllocator,0,97,0,0,0,1,0,1,0,1
llvm-antlr-project,com.example,SysYParser.FuncRParamsContext,31,23,5,1,8,5,8,4,5,4
llvm-antlr-project,com.example,Type,0,28,3,7,0,7,3,4,0,2
llvm-antlr-project,com.example,Interval,15,0,0,0,6,0,1,0,1,0
llvm-antlr-project,com.example,IntType,2,10,0,0,1,3,1,3,1,3
llvm-antlr-project,com.example,Main,13,318,13,45,7,73,14,19,1,3
llvm-antlr-project,com.example,SysYParser.ConstInitValContext,46,24,5,1,11,5,11,4,8,4
llvm-antlr-project,com.example,IRGenerationVisitor,960,2497,142,230,164,487,109,118,6,32
llvm-antlr-project,com.example,SysYParser.VarDeclContext,42,23,5,1,10,5,10,4,7,4
llvm-antlr-project,com.example,SysYParser.FuncFParamContext,36,38,5,1,9,8,9,7,6,7
llvm-antlr-project,com.example,ArrayType,18,57,1,1,4,12,4,5,3,5
llvm-antlr-project,com.example,FunctionType,5,18,0,0,3,6,2,3,2,3
llvm-antlr-project,com.example,SysYParser.FuncTypeContext,32,13,5,1,8,3,8,2,5,2
llvm-antlr-project,com.example,SysYParser.ConstDeclContext,37,33,5,1,9,7,9,6,6,6
llvm-antlr-project,com.example,SysYParser.NumberContext,22,18,5,1,6,4,6,3,3,3
llvm-antlr-project,com.example,LLVMIRToRiscv,1131,3787,105,284,122,540,85,126,0,11
llvm-antlr-project,com.example,SysYParser.FuncFParamsContext,37,17,5,1,9,4,9,3,6,3
llvm-antlr-project,com.example,SysYParser.UnaryOpContext,37,13,5,1,9,3,9,2,6,2
llvm-antlr-project,com.example,SysYLexer,16,569,0,8,8,27,8,9,8,5
llvm-antlr-project,com.example,OutputHelper,28,3,0,0,4,1,2,1,2,1
llvm-antlr-project,com.example,SysYParserBaseVisitor,100,3,0,0,25,1,25,1,25,1
llvm-antlr-project,com.example,SysYParser.BlockItemContext,22,25,5,1,6,5,6,4,3,4
llvm-antlr-project,com.example,SysYParser.FuncDefContext,40,28,6,0,9,6,9,5,6,5
llvm-antlr-project,com.example,errorType,0,24,0,0,0,3,0,1,0,1
llvm-antlr-project,com.example,MyErrorListener,63,17,7,1,12,6,6,2,2,2
llvm-antlr-project,com.example,SysYParser.LValContext,42,26,5,1,10,6,10,5,7,5
llvm-antlr-project,com.example,SymbolTable,37,367,16,32,4,55,16,24,0,16
llvm-antlr-project,com.example,StackOnlyRegisterAllocator,42,0,2,0,7,0,3,0,2,0
llvm-antlr-project,com.example,SysYParser.CompUnitContext,39,21,5,1,9,5,9,4,6,4
llvm-antlr-project,com.example,SysYParser.ConstDefContext,42,37,5,1,10,8,10,7,7,7
llvm-antlr-project,com.example,LinearScanRegisterAllocator,53,0,2,0,12,0,4,0,3,0
llvm-antlr-project,com.example,ErrorType,165,0,0,0,19,0,4,0,4,0
llvm-antlr-project,com.example,Symbol,0,27,0,0,0,12,0,3,0,3
llvm-antlr-project,com.example,SysYParser.ProgramContext,22,19,5,1,6,4,6,3,3,3
llvm-antlr-project,com.example,SysYParser.InitValContext,36,34,5,1,9,7,9,6,6,6
llvm-antlr-project,com.example,SysYParserBaseListener,57,0,0,0,55,0,55,0,55,0
llvm-antlr-project,com.example,SysYParser.ParamContext,22,19,5,1,6,4,6,3,3,3
llvm-antlr-project,com.example,VoidType,2,10,0,0,1,3,1,3,1,3
llvm-antlr-project,com.example,AsmBuilder,37,276,1,3,6,48,3,19,2,18
llvm-antlr-project,com.example,SysYParser.DeclContext,22,25,5,1,6,5,6,4,3,4
llvm-antlr-project,com.example,SysYParser.ConstExpContext,22,19,5,1,6,4,6,3,3,3
llvm-antlr-project,com.example,SysYParser.BTypeContext,22,18,5,1,6,4,6,3,3,3
llvm-antlr-project,com.example,ConstPropValueHolder.Kind,34,0,0,0,2,0,1,0,1,0
llvm-antlr-project,com.example,SysYParser,765,2978,79,117,188,655,80,73,10,31
llvm-antlr-project,com.example,SysYParser.BlockContext,32,23,5,1,8,5,8,4,5,4
llvm-antlr-project,com.example,loop_stored_element,3,12,0,0,1,5,1,1,1,1
llvm-antlr-project,com.example,SysYParser.CondContext,27,64,5,1,7,13,7,12,4,12
